char	digraph	description
ǵ	g'	latin small letter g with acute
ʿ	;s	modifier letter left half ring
ˇ	'<	caron
˘	'(	breve
˙	'.	dot above
˚	'0	ring above
˛	';	ogonek
˝	'\"	double acute accent
ά	a%	greek capital letter alpha with tonos
έ	e%	greek capital letter epsilon with tonos
ή	y%	greek capital letter eta with tonos
ί	i%	greek capital letter iota with tonos
ό	o%	greek capital letter omicron with tonos
ύ	u%	greek capital letter upsilon with tonos
ώ	w%	greek capital letter omega with tonos
ΐ	i3	greek small letter iota with dialytika and tonos
α	a*	greek capital letter alpha
β	b*	greek capital letter beta
γ	g*	greek capital letter gamma
δ	d*	greek capital letter delta
ε	e*	greek capital letter epsilon
ζ	z*	greek capital letter zeta
η	y*	greek capital letter eta
θ	h*	greek capital letter theta
ι	i*	greek capital letter iota
κ	k*	greek capital letter kappa
λ	l*	greek capital letter lamda (aka lambda)
μ	m*	greek capital letter mu
ν	n*	greek capital letter nu
ξ	c*	greek capital letter xi
ο	o*	greek capital letter omicron
π	p*	greek capital letter pi
ρ	r*	greek capital letter rho
σ	s*	greek capital letter sigma
τ	t*	greek capital letter tau
υ	u*	greek capital letter upsilon
φ	f*	greek capital letter phi
χ	x*	greek capital letter chi
ψ	q*	greek capital letter psi
ω	w*	greek capital letter omega
ϊ	j*	greek capital letter iota with dialytika
ϋ	v*	greek capital letter upsilon with dialytika
ά	a%	greek small letter alpha with tonos
έ	e%	greek small letter epsilon with tonos
ή	y%	greek small letter eta with tonos
ί	i%	greek small letter iota with tonos
ΰ	u3	greek small letter upsilon with dialytika and tonos
α	a*	greek small letter alpha
β	b*	greek small letter beta
γ	g*	greek small letter gamma
δ	d*	greek small letter delta
ε	e*	greek small letter epsilon
ζ	z*	greek small letter zeta
η	y*	greek small letter eta
θ	h*	greek small letter theta
ι	i*	greek small letter iota
κ	k*	greek small letter kappa
λ	l*	greek small letter lamda (aka lambda)
μ	m*	greek small letter mu
ν	n*	greek small letter nu
ξ	c*	greek small letter xi
ο	o*	greek small letter omicron
